order,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price,sale_price_norm,sale_price_z,gr_liv_area_norm,gr_liv_area_z,total_bsmt_sf_norm,total_bsmt_sf_z,lot_area_norm,lot_area_z,year_built_norm,year_built_z,overall_qual_norm,overall_qual_z,garage_area_norm,garage_area_z,log_sale_price
747,903236040,30,RM,50.0,8635,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,BrkTil,4,4,No,LwQ,134.0,Unf,0.0,938.0,1072.0,GasA,4,Y,SBrkr,1072,0,0,1072,1.0,0.0,1,0,2,1,4,5,Typ,0,1,Detchd,1982.0,Unf,5.0,1184.0,3,4,P,0,0,105,0,0,0,None,None,None,0,8,2009,WD ,Normal,126500,0.15320575954816082,-0.6793824814725654,0.17817479478512796,-0.8617226828321506,0.3343730505302558,0.05809686811516672,0.03428451237467573,-0.189438304508603,0.38405797101449274,-1.5317926266355022,0.4444444444444444,-0.7757658471024885,0.7956989247311828,3.3260232932064793,11.747997587149712
748,903400220,75,RL,51.0,11888,Pave,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,4,4,BrkTil,4,4,No,Unf,0.0,Unf,0.0,844.0,844.0,GasA,5,N,FuseA,1445,689,0,2134,0.0,0.0,2,0,5,1,5,10,Typ,0,1,Detchd,1930.0,Unf,2.0,441.0,4,4,Y,0,60,268,0,0,0,None,None,None,0,7,2009,WD ,Normal,214500,0.27177042646902294,0.42162690639210765,0.4345726702076292,1.2968435565178127,0.2632563942607611,-0.4810822707548514,0.049489354740704386,0.22853059337358736,0.3188405797101449,-1.8294265232208795,0.5555555555555556,-0.06462690740033272,0.2963709677419355,-0.14462795690784447,12.27606501735021
749,903425245,70,RL,60.0,11414,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,BrkSide,RRAn,Feedr,1Fam,2Story,7,8,1910,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,5,BrkTil,5,4,No,Unf,0.0,Unf,0.0,728.0,728.0,GasA,4,N,SBrkr,1136,883,0,2019,0.0,0.0,1,0,3,1,5,8,Typ,0,1,Detchd,1997.0,Unf,2.0,532.0,4,4,Y,509,135,0,0,0,0,None,GdPrv,None,0,10,2009,WD ,Normal,167500,0.20844611572719887,-0.1664121984901609,0.40680830516658617,1.063100508000632,0.22707423580786026,-0.7554014817588957,0.047273832059641495,0.1676276552868495,0.2753623188405797,-2.0278491209444645,0.6666666666666666,0.6465120323018231,0.3575268817204301,0.2804450764170593,12.028738630247258
750,903427120,70,RM,57.0,8094,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,PConc,4,4,No,Unf,0.0,Unf,0.0,1048.0,1048.0,GasA,5,Y,FuseA,1048,720,0,1768,0.0,0.0,2,0,3,1,4,8,Typ,0,1,Detchd,1930.0,Unf,2.0,576.0,3,3,Y,0,0,150,0,0,0,None,None,None,0,6,2009,WD ,Normal,155000,0.1916045437213946,-0.32280557744821103,0.3462095605987446,0.5529308977587857,0.32688708671241423,0.0013411692867437667,0.03175582509523476,-0.25894988574262234,0.3115942028985507,-1.8624969561748101,0.5555555555555556,-0.06462690740033272,0.3870967741935484,0.4859748947280017,11.951180395901384
751,903429080,70,RM,50.0,2500,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,2005,Gable,CompShg,Stucco,Stucco,None,0.0,5,4,PConc,4,4,No,ALQ,299.0,Unf,0.0,611.0,910.0,GasA,6,Y,SBrkr,916,910,0,1826,1.0,0.0,1,1,4,1,6,7,Min2,1,5,Attchd,1915.0,Unf,1.0,164.0,3,3,Y,0,0,0,0,0,0,None,None,None,0,6,2009,WD ,Normal,155000,0.1916045437213946,-0.32280557744821103,0.3602124577498793,0.6708186961413638,0.2838427947598253,-0.32500409897668825,0.00560891817990605,-0.9777073449350517,0.3115942028985507,-1.8624969561748101,0.6666666666666666,0.6465120323018231,0.11021505376344086,-1.4385315858199141,11.951180395901384
752,903429110,70,RM,68.0,9928,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,5,BrkTil,4,4,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,3,Y,SBrkr,1272,672,0,1944,0.0,0.0,2,0,3,1,4,8,Min2,0,1,Detchd,1915.0,Unf,1.0,216.0,4,4,N,24,28,0,0,0,0,None,None,Shed,400,6,2009,WD ,Normal,179900,0.2251529551569567,-0.011269966563775156,0.38870111057460166,0.9106593894024708,0.2096069868995633,-0.8878314456918825,0.040328121713524505,-0.02330434048718519,0.3115942028985507,-1.8624969561748101,0.6666666666666666,0.6465120323018231,0.14516129032258066,-1.1956327096342547,12.100156419938624
753,903430060,75,RM,92.0,5520,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,CBlock,4,4,No,Unf,0.0,Unf,0.0,755.0,755.0,GasA,6,Y,SBrkr,929,929,371,2229,0.0,0.0,1,0,5,1,4,8,Typ,0,1,None,1912.0,None,0.0,0.0,1,1,Y,0,198,30,0,0,0,None,MnPrv,None,0,7,2009,WD ,Abnorml,104000,0.12289092993771313,-0.9608905635970556,0.4575084500241429,1.4899356400754835,0.235495945102932,-0.6915513205769198,0.01972469559933628,-0.5896759672516165,0.2898550724637681,-1.9617082550366027,0.5555555555555556,-0.06462690740033272,0.0,-2.2045972722516085,11.55214617812351
754,903430070,90,RM,50.0,3000,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2Story,5,1,1922,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,4,3,No,Unf,0.0,Unf,0.0,1040.0,1040.0,GasA,4,N,SBrkr,1088,1040,0,2128,0.0,0.0,2,0,4,2,4,11,Sev,0,1,None,1922.0,None,0.0,0.0,1,1,Y,0,56,0,0,0,0,None,None,None,0,9,2009,WD ,Abnorml,62500,0.06697691087844292,-1.4801165817377822,0.4331240946402704,1.2846482670299597,0.32439176543980036,-0.01757739698939722,0.007945967421533572,-0.913463739358324,0.36231884057971014,-1.6310039254972946,0.4444444444444444,-0.7757658471024885,0.0,-2.2045972722516085,11.042921835724492
755,903451090,70,RM,57.0,6876,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,None,0.0,4,4,CBlock,4,3,No,BLQ,522.0,Unf,0.0,198.0,720.0,GasA,3,Y,SBrkr,1146,784,0,1930,1.0,0.0,2,0,4,1,4,8,Typ,0,1,Attchd,1927.0,Unf,1.0,316.0,4,4,Y,0,0,213,0,0,0,None,MnPrv,None,0,8,2009,WD ,Normal,149000,0.18352058915860853,-0.3978743993480751,0.3853211009174312,0.882203713930814,0.22457891453524642,-0.7743200480350366,0.026062773142630117,-0.415447308927531,0.39855072463768115,-1.4656517607276407,0.5555555555555556,-0.06462690740033272,0.21236559139784947,-0.7285194862002946,11.911701584927597
756,903458170,30,RM,52.0,6240,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,CBlock,4,4,No,BLQ,152.0,Unf,0.0,628.0,780.0,GasA,4,Y,FuseA,848,0,360,1208,0.0,0.0,1,0,2,1,4,5,Typ,0,1,Detchd,1962.0,Unf,2.0,539.0,4,4,Y,0,23,112,0,0,0,None,None,None,0,1,2009,WD ,Normal,103000,0.12154360417724878,-0.9734020339136996,0.21100917431192662,-0.5852961211074849,0.24329382407985028,-0.6324308009639792,0.02309004650727991,-0.49716517522112863,0.38405797101449274,-1.5317926266355022,0.3333333333333333,-1.4869047868046443,0.36223118279569894,0.31314300205743645,11.542484267211773
757,903475100,70,RM,60.0,5775,Pave,None,IR2,Bnk,AllPub,Corner,Mod,OldTown,Feedr,Norm,1Fam,2Story,6,7,1915,2002,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,4,4,No,Unf,0.0,Unf,0.0,483.0,483.0,GasA,6,Y,SBrkr,741,686,0,1427,0.0,0.0,1,0,3,1,5,7,Typ,0,1,Attchd,1915.0,Unf,1.0,379.0,4,4,Y,0,24,112,0,0,0,None,None,None,0,2,2009,WD ,Normal,123000,0.14849011938653564,-0.7231726275808195,0.2638821825205215,-0.14016805480085406,0.15065502183406113,-1.3347825739657133,0.020916590712566314,-0.5569117284074854,0.3115942028985507,-1.8624969561748101,0.5555555555555556,-0.06462690740033272,0.2547043010752688,-0.43423815543689975,11.719939634354555
758,903476090,190,RM,41.0,5852,Pave,None,IR3,Bnk,AllPub,Corner,Gtl,OldTown,Feedr,Norm,2fmCon,2.5Unf,7,5,1902,2000,Gable,CompShg,MetalSd,MetalSd,Stone,188.0,4,3,BrkTil,4,3,No,Rec,169.0,Unf,0.0,851.0,1020.0,GasA,4,N,FuseF,978,886,0,1864,0.0,0.0,2,1,6,1,4,9,Typ,0,1,None,1902.0,None,0.0,0.0,1,1,N,0,188,102,0,0,0,None,None,None,0,5,2009,WD ,Normal,97500,0.11413331249469491,-1.0422151206552417,0.3693867696764848,0.7480555295644321,0.31815346225826574,-0.06487381267974968,0.02127649629577695,-0.5470182131486693,0.21739130434782608,-2.2924125845759105,0.6666666666666666,0.6465120323018231,0.0,-2.2045972722516085,11.487607656985938
759,903481120,50,RM,60.0,5160,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,BrkTil,4,4,No,Unf,0.0,Unf,0.0,1204.0,1204.0,GasA,4,Y,FuseA,1204,462,0,1666,0.0,0.0,1,0,3,1,4,4,Typ,0,1,Detchd,1927.0,Unf,1.0,384.0,3,4,Y,0,0,148,0,0,0,None,None,None,0,8,2009,WD ,Normal,135000,0.16465802851210773,-0.5730349837810913,0.32158377595364557,0.34561097646528643,0.37554585152838427,0.370253211671493,0.018042020145364462,-0.6359313632668605,0.39855072463768115,-1.4656517607276407,0.5555555555555556,-0.06462690740033272,0.25806451612903225,-0.41088249426520174,11.813030057420567
760,903481130,85,RM,86.0,5160,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,SFoyer,4,6,1923,1950,Hip,CompShg,MetalSd,MetalSd,None,0.0,4,5,PConc,5,3,Av,BLQ,749.0,Rec,63.0,46.0,858.0,GasA,4,Y,SBrkr,892,0,0,892,1.0,0.0,1,0,1,1,5,5,Min2,0,1,None,1923.0,None,0.0,0.0,1,1,N,0,0,105,0,160,0,None,None,None,0,7,2009,COD,Abnorml,70000,0.07708185408192549,-1.386280554362952,0.13471752776436505,-1.2275813674677376,0.26762320648783533,-0.44797477977160466,0.018042020145364462,-0.6359313632668605,0.3695652173913043,-1.597933492543364,0.3333333333333333,-1.4869047868046443,0.0,-2.2045972722516085,11.156250521031495
761,903484110,190,RM,60.0,10320,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,2fmCon,2Story,6,7,1915,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,5,CBlock,4,4,No,Rec,276.0,ALQ,262.0,160.0,698.0,GasA,6,Y,FuseF,754,649,0,1403,1.0,0.0,1,1,3,1,4,7,Typ,0,1,Detchd,1915.0,Unf,1.0,308.0,4,4,Y,0,0,288,0,0,0,None,None,None,0,2,2009,WD ,Normal,116000,0.13905883906328523,-0.8107529197973276,0.2580878802510864,-0.18894921275226564,0.21771678103555833,-0.8263461052944243,0.04216036831896048,0.027062646284969318,0.3115942028985507,-1.8624969561748101,0.5555555555555556,-0.06462690740033272,0.20698924731182797,-0.7658885440750115,11.661345470088502
762,904100190,20,RL,50.0,4280,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,5,CBlock,3,4,No,Unf,0.0,Unf,0.0,560.0,560.0,GasA,6,Y,FuseA,704,0,0,704,0.0,1.0,1,0,2,1,3,4,Typ,0,1,CarPort,1946.0,Unf,1.0,220.0,4,4,Y,0,0,24,0,0,0,None,None,None,0,9,2009,WD ,Normal,88750,0.10234421209063191,-1.1516904859258768,0.08932882665379044,-1.6097004380871285,0.17467248908296942,-1.1526913735578563,0.013928813480100026,-0.7490001090819012,0.5362318840579711,-0.8373135346029554,0.3333333333333333,-1.4869047868046443,0.1478494623655914,-1.1769481806968964,11.393578707337662
763,904301060,90,RL,60.0,10800,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,None,0.0,4,4,CBlock,5,5,Gd,GLQ,1200.0,Unf,0.0,0.0,1200.0,GasA,4,Y,SBrkr,1200,0,0,1200,3.0,0.0,3,0,3,1,4,5,Typ,0,1,None,1987.0,None,0.0,0.0,1,1,Y,120,0,0,0,0,0,None,None,None,0,3,2009,WD ,Alloca,179000,0.2239403619725388,-0.022530289848754766,0.20907774022211492,-0.6015565070912887,0.37429819089207733,0.3607939285334225,0.0444039355909229,0.0887365076386279,0.8333333333333334,0.5185742165082072,0.4444444444444444,-0.7757658471024885,0.0,-2.2045972722516085,12.095141084822892
764,904301070,90,RL,60.0,10800,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,None,0.0,4,5,CBlock,5,5,Gd,GLQ,1200.0,Unf,0.0,0.0,1200.0,GasA,4,Y,SBrkr,1200,0,0,1200,3.0,0.0,3,0,3,1,4,5,Typ,0,1,None,1987.0,None,0.0,0.0,1,1,Y,120,0,0,0,0,0,None,None,None,0,3,2009,WD ,Alloca,179000,0.2239403619725388,-0.022530289848754766,0.20907774022211492,-0.6015565070912887,0.37429819089207733,0.3607939285334225,0.0444039355909229,0.0887365076386279,0.8333333333333334,0.5185742165082072,0.4444444444444444,-0.7757658471024885,0.0,-2.2045972722516085,12.095141084822892
765,904301100,90,RL,65.0,10547,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,5,5,1978,1978,Gable,CompShg,Plywood,Plywood,None,0.0,4,4,PConc,5,5,Gd,GLQ,1152.0,Unf,0.0,0.0,1152.0,GasA,4,Y,SBrkr,1152,0,0,1152,2.0,0.0,2,0,2,2,4,6,Typ,0,1,Detchd,1960.0,Unf,1.0,252.0,4,3,N,0,0,0,0,0,0,None,None,None,0,7,2009,WD ,Normal,159900,0.19820643994766987,-0.26149937289665537,0.1974891356832448,-0.699118822994112,0.3593262632563943,0.24728253087657656,0.043221388674659376,0.05622924321680369,0.7681159420289855,0.2209403199228301,0.4444444444444444,-0.7757658471024885,0.1693548387096774,-1.027471949198029,11.982303898822046
766,904301375,30,RL,65.0,10020,Pave,None,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,2,Gd,BLQ,350.0,Unf,0.0,333.0,683.0,GasA,5,N,FuseA,904,0,0,904,1.0,0.0,0,1,1,1,3,4,Maj1,0,1,None,1922.0,None,0.0,0.0,1,1,Y,0,0,0,0,0,0,None,None,None,0,3,2009,WD ,Normal,61000,0.0649559222377464,-1.498883787212748,0.13761467889908258,-1.2031907884920319,0.21303805364940737,-0.8618184170621886,0.040758138773983967,-0.011483517061067296,0.36231884057971014,-1.6310039254972946,0.0,-3.620321605911112,0.0,-2.2045972722516085,11.018629143155449
767,904351200,70,RH,54.0,6629,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,5,BrkTil,4,4,No,BLQ,551.0,Unf,0.0,121.0,672.0,GasA,4,N,SBrkr,697,672,0,1369,1.0,0.0,2,0,3,1,4,6,Typ,0,1,Detchd,1930.0,Unf,1.0,300.0,4,4,Y,147,0,0,0,0,0,None,None,None,0,7,2009,WD ,Normal,103600,0.12235199963352739,-0.9658951517237132,0.24987928536938678,-0.2580558531834321,0.2096069868995633,-0.8878314456918825,0.02490827081726612,-0.4471836500824345,0.38405797101449274,-1.5317926266355022,0.5555555555555556,-0.06462690740033272,0.20161290322580644,-0.8032576019497283,11.54829260880752
768,904351240,50,RL,60.0,9780,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,PConc,4,4,No,Unf,0.0,Unf,0.0,585.0,585.0,GasA,4,N,FuseA,687,425,0,1112,1.0,0.0,2,0,4,1,4,6,Typ,0,1,Detchd,1934.0,Unf,1.0,226.0,2,2,N,0,0,0,0,0,0,None,None,None,0,3,2009,WD ,Normal,63000,0.0676505737586751,-1.47386084657946,0.18783196523418638,-0.7804207529131313,0.1824703680598877,-1.0935708539449158,0.03963635513800276,-0.04232044773789659,0.4492753623188406,-1.234158730050125,0.4444444444444444,-0.7757658471024885,0.15188172043010753,-1.1489213872908588,11.05089000537367
769,905101260,80,RL,70.0,12886,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,6,1963,1999,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,4,CBlock,5,4,Av,ALQ,444.0,Unf,0.0,76.0,520.0,GasA,6,Y,SBrkr,1464,0,0,1464,0.0,1.0,2,0,3,1,4,6,Min2,1,4,Attchd,1997.0,RFn,2.0,480.0,4,4,Y,302,0,0,0,100,0,None,None,None,0,10,2009,WD ,Normal,175000,0.21855105893068144,-0.07257617111533081,0.27281506518590054,-0.06496376962576117,0.16219588271990018,-1.2472842049385613,0.054154105026992916,0.3567608301047358,0.6594202898550725,-0.2751161743861319,0.4444444444444444,-0.7757658471024885,0.3225806451612903,0.03754620023139999,12.072541252905651
770,905101490,20,RL,80.0,8816,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,4,4,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,4,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,4,5,Typ,0,1,Detchd,1963.0,Unf,2.0,480.0,4,4,Y,0,80,0,0,0,0,None,MnPrv,None,0,6,2009,WD ,Normal,139000,0.17004733155396512,-0.5229891025145152,0.19000482858522452,-0.7621278186813519,0.3496568933250156,0.17397308655653027,0.0351305242001449,-0.16618211928982757,0.6594202898550725,-0.2751161743861319,0.4444444444444444,-0.7757658471024885,0.3225806451612903,0.03754620023139999,11.842229212112828
771,905103040,60,RL,70.0,11184,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,5,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,92.0,4,4,CBlock,4,4,No,LwQ,226.0,Rec,500.0,192.0,918.0,GasA,5,Y,SBrkr,918,765,0,1683,0.0,0.0,2,1,3,1,4,7,Typ,1,4,Attchd,1978.0,RFn,2.0,440.0,4,4,Y,243,0,0,0,0,0,None,None,None,0,7,2009,WD ,Normal,172500,0.21518274452952058,-0.10385484690694084,0.3256880733944954,0.38016429668086965,0.2863381160324392,-0.3060855327005472,0.046198789408492834,0.13807559672155476,0.7681159420289855,0.2209403199228301,0.5555555555555556,-0.06462690740033272,0.2956989247311828,-0.14929908914218407,12.058152515453552
772,905103070,20,RL,75.0,11625,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,172.0,4,4,CBlock,4,4,No,BLQ,527.0,Unf,0.0,525.0,1052.0,GasA,4,Y,SBrkr,1052,0,0,1052,0.0,0.0,1,1,3,1,4,6,Typ,1,2,Attchd,1984.0,Fin,1.0,668.0,4,4,Y,0,215,0,0,0,0,None,None,None,0,4,2009,WD ,Abnorml,113500,0.1356905246621244,-0.8420315955889376,0.17334620956059874,-0.9023736477916603,0.32813474734872117,0.010800452424814259,0.04826006683960831,0.19473845684022859,0.6884057971014492,-0.1428344425704087,0.4444444444444444,-0.7757658471024885,0.4489247311827957,0.915719060287245,11.639558115903595
773,905105190,20,RL,65.0,7800,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1967,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,89.0,4,4,PConc,4,4,No,ALQ,450.0,Unf,0.0,414.0,864.0,GasA,6,Y,SBrkr,899,0,0,899,0.0,0.0,1,0,3,1,5,5,Typ,0,1,Attchd,1967.0,Fin,1.0,288.0,4,4,Y,64,0,0,0,0,0,None,MnPrv,None,0,6,2009,WD ,Normal,130000,0.15792139970978603,-0.6355923353643114,0.13640753259295027,-1.2133535297319091,0.2694946974422957,-0.4337858550644989,0.030381640141157774,-0.29672512582173827,0.6884057971014492,-0.1428344425704087,0.4444444444444444,-0.7757658471024885,0.1935483870967742,-0.8593111887618035,11.77528972943772
774,905107310,85,RL,72.0,8014,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1978,1978,Gable,CompShg,Plywood,HdBoard,BrkFace,23.0,4,4,CBlock,5,4,Gd,GLQ,456.0,Unf,0.0,0.0,456.0,GasA,4,Y,SBrkr,1034,0,0,1034,0.0,1.0,1,0,3,1,4,5,Typ,1,3,Basment,1978.0,Fin,2.0,504.0,4,4,Y,0,0,0,0,0,0,None,None,None,0,6,2009,WD ,Normal,149900,0.18473318234302644,-0.3866140760630955,0.16900048285852245,-0.938959516255219,0.14223331253898938,-1.398632735147689,0.031381897216574355,-0.2692288626348988,0.7681159420289855,0.2209403199228301,0.5555555555555556,-0.06462690740033272,0.3387096774193548,0.14965337385555041,11.917723684090689
775,905108190,85,RL,72.0,7252,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,5,1982,1982,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,CBlock,5,4,Av,GLQ,685.0,Unf,0.0,173.0,858.0,GasA,4,Y,SBrkr,858,0,0,858,1.0,0.0,1,0,2,1,4,5,Typ,0,1,Detchd,1983.0,Unf,2.0,576.0,4,4,Y,120,0,0,0,0,0,None,None,None,0,4,2009,WD ,Normal,134900,0.1645232959360613,-0.5742861308127557,0.12650893288266538,-1.296688007898904,0.26762320648783533,-0.44797477977160466,0.02782023417233401,-0.3671361175338318,0.7971014492753623,0.3532220517385533,0.4444444444444444,-0.7757658471024885,0.3870967741935484,0.4859748947280017,11.812289042195847
776,905108220,85,RL,74.0,8740,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,6,1982,1982,Hip,CompShg,HdBoard,HdBoard,None,0.0,4,4,CBlock,4,4,Av,ALQ,672.0,Unf,0.0,168.0,840.0,GasA,4,Y,SBrkr,860,0,0,860,1.0,0.0,1,0,2,1,4,4,Typ,0,1,Detchd,1996.0,Unf,2.0,528.0,4,4,Y,0,0,0,0,0,0,None,None,None,0,7,2009,WD ,Normal,137000,0.16735268003303644,-0.5480120431478033,0.1269917914051183,-1.292622911402953,0.26200873362445415,-0.49054155389292187,0.034775292715417516,-0.17594714733749017,0.7971014492753623,0.3532220517385533,0.4444444444444444,-0.7757658471024885,0.3548387096774194,0.26176054747970084,11.827736204810263
777,905200220,20,RL,72.0,11616,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,116.0,4,4,CBlock,4,4,No,LwQ,170.0,BLQ,670.0,252.0,1092.0,GasA,4,Y,SBrkr,1092,0,0,1092,0.0,1.0,1,0,3,1,4,6,Typ,1,2,Attchd,1962.0,Unf,1.0,288.0,4,4,Y,0,20,144,0,0,0,None,None,None,0,9,2009,WD ,Normal,139000,0.17004733155396512,-0.5229891025145152,0.18300338000965716,-0.8210717178726409,0.3406113537117904,0.10539328380551918,0.04821799995325902,0.1935820719398475,0.6521739130434783,-0.3081866073400627,0.4444444444444444,-0.7757658471024885,0.1935483870967742,-0.8593111887618035,11.842229212112828
778,905200260,80,RL,88.0,15400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,5,1961,1961,Hip,CompShg,HdBoard,HdBoard,None,0.0,4,4,CBlock,4,5,No,Unf,0.0,Unf,0.0,552.0,552.0,GasA,4,Y,SBrkr,904,611,259,1774,0.0,0.0,2,0,4,1,4,8,Typ,1,4,Attchd,1961.0,Unf,1.0,384.0,4,4,Y,290,40,0,0,0,0,None,None,None,0,7,2009,WD ,Normal,165000,0.205077801326038,-0.19769087428177093,0.3476581361661033,0.5651261872466387,0.17217716781035558,-1.1716099398339974,0.06590478861389609,0.6797776789445227,0.644927536231884,-0.3412570402939935,0.4444444444444444,-0.7757658471024885,0.25806451612903225,-0.41088249426520174,12.013700752882718
